PRODUTO,DESC_PRODUTO,COLECAO,ANM_TIPO_PRODUTO,GRUPO_PRODUTO,SUBGRUPO_PRODUTO,LINHA,MODELAGEM
5.20552,VESTIDO BEBE LENCO DO TUCANO MINI,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20554,JARDINEIRA BEBE POODLE,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20559,VESTIDO BEBE DECORADO ESTRELAR,INV26,,5MACACÃO,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20577,MACAQUINHO BEBE MALHA FILHOTES,INV26,,5MACACÃO,CURTO MC,MALHA ESTAMPADA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20841,LEGGING MARGARIDA,INV26,,5CALÇA,LEGGING,EMB,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21008,CAMISA ILHA,INV26,,5CAMISA,MANGA CURTA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21046,CAMISETA SILK VIVA O MAR,INV26,,5CAMISA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21075,TOP BELEZA CORRIDO,INV26,,5BLUSA,TOP,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21167,BLUSA RIB FLORZINHA,INV26,,5BLUSA,MANGA CURTA,MALHA LISA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20691,MACACAO CORES DO TUCANO,INV26,,5MACACÃO,LONGO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20657,SHORT SAIA MARGARIDA,INV26,,5SHORT,SHORT SAIA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21193,SHORT ESPLENDOR TROPICAL E,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20557,VESTIDO BEBE JARDIM NOTURNO MINI,INV26,,5VESTIDOS,CURTO MC,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20752,SHORT FLORESTA DA TIJUCA,INV26,,5SHORT,SHORT CURTO,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.21184,BLUSA AMARRACAO ZEBRADA,INV26,,5BLUSA,SEM MG,TECIDO PLANO LISO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20972,SHORT SAIA TAPETE DE FLOR OFF,INV26,,5SAIA,CURTA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20933,BIQUINI LISTRA FLOR,INV26,,5BIQUINI,BIQUINI,PRAIA,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20743,CAMISA PAO DE ACUCAR,INV26,,5CAMISA,MANGA CURTA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20883,BLUSA LISTRA RAINBOW,INV26,,5BLUSA,SEM MG,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
5.20806,CALCA BELEZA BARRADO,INV26,,5CALÇA,RETA,TECIDO PLANO ESTAMPADO,"***** Object:  Default dbo.DEF_CHAR_1    Script Date: 5/4/2000 18:55:55 ******/
CREATE DEFAULT DEF_CHAR_1
	AS ' '"
