PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20637,55223,FABULA SHOP LEBLON CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20637,55223,FABULA RDB CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20637,55223,FABULA BARRA SHOPPING,0.059016,10,0.75,knn_ponderado,4,18,1.062288,1
5.20637,55223,FABULA ELDORADO CM,0.022951,10,0.75,knn_ponderado,6,20,0.45902,0
5.20637,55223,FABULA RIO SUL CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20637,55223,FABULA BARRA SALVADOR CM,0.032787,10,0.75,fallback_categoria,16,30,0.9836099999999999,1
5.20637,55223,FABULA HARMONIA SP CM,0.016393,10,0.75,knn_ponderado,6,20,0.32786000000000004,0
5.20637,55223,FABULA PLAZA SHOP CM,0.04918,10,0.75,fallback_categoria,4,18,0.88524,1
5.20637,55223,FABULA SHOP VITORIA CM,0.04918,10,0.75,fallback_categoria,11,25,1.2295,1
5.20637,55223,FABULA CENTRO CM,0.043716,10,0.75,knn_ponderado,4,18,0.7868879999999999,1
5.20739,55222,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20739,55222,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20739,55222,FABULA BARRA SHOPPING,0.107582,10,0.75,knn_ponderado,4,18,1.9364759999999999,2
5.20739,55222,FABULA ELDORADO CM,0.02541,10,0.75,knn_ponderado,6,20,0.5082,1
5.20739,55222,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20739,55222,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20739,55222,FABULA HARMONIA SP CM,0.04918,10,0.75,fallback_categoria,6,20,0.9836,1
5.20739,55222,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20739,55222,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20739,55222,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20742,55221,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20742,55221,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20742,55221,FABULA BARRA SHOPPING,0.107582,10,0.75,knn_ponderado,4,18,1.9364759999999999,2
5.20742,55221,FABULA ELDORADO CM,0.02541,10,0.75,knn_ponderado,6,20,0.5082,1
5.20742,55221,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20742,55221,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20742,55221,FABULA HARMONIA SP CM,0.04918,10,0.75,fallback_categoria,6,20,0.9836,1
5.20742,55221,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20742,55221,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20742,55221,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20752,55221,FABULA SHOP LEBLON CM,0.065574,10,0.75,fallback_categoria,4,18,1.180332,1
5.20752,55221,FABULA RDB CM,0.065574,10,0.75,fallback_categoria,4,18,1.180332,1
5.20752,55221,FABULA BARRA SHOPPING,0.080328,10,0.75,knn_ponderado,4,18,1.4459039999999999,1
5.20752,55221,FABULA ELDORADO CM,0.017623,10,0.75,knn_ponderado,6,20,0.35246,0
5.20752,55221,FABULA RIO SUL CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20752,55221,FABULA BARRA SALVADOR CM,0.081967,10,0.75,fallback_categoria,16,30,2.45901,2
5.20752,55221,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20752,55221,FABULA PLAZA SHOP CM,0.040984,10,0.75,fallback_categoria,4,18,0.737712,1
5.20752,55221,FABULA SHOP VITORIA CM,0.07377,10,0.75,fallback_categoria,11,25,1.8442500000000002,2
5.20752,55221,FABULA CENTRO CM,0.008197,10,0.75,knn_ponderado,4,18,0.14754599999999998,0
5.20907,55261,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20907,55261,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20907,55261,FABULA BARRA SHOPPING,0.141803,10,0.75,knn_ponderado,4,18,2.552454,3
5.20907,55261,FABULA ELDORADO CM,0.044262,10,0.75,knn_ponderado,6,20,0.88524,1
5.20907,55261,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20907,55261,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20907,55261,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20907,55261,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20907,55261,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20907,55261,FABULA CENTRO CM,0.032787,10,0.75,fallback_categoria,4,18,0.590166,1
5.20908,55260,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20908,55260,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20908,55260,FABULA BARRA SHOPPING,0.141803,10,0.75,knn_ponderado,4,18,2.552454,3
5.20908,55260,FABULA ELDORADO CM,0.044262,10,0.75,knn_ponderado,6,20,0.88524,1
5.20908,55260,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20908,55260,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20908,55260,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20908,55260,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20908,55260,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20908,55260,FABULA CENTRO CM,0.032787,10,0.75,fallback_categoria,4,18,0.590166,1
5.20926,55257,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20926,55257,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20926,55257,FABULA BARRA SHOPPING,0.141803,10,0.75,knn_ponderado,4,18,2.552454,3
5.20926,55257,FABULA ELDORADO CM,0.044262,10,0.75,knn_ponderado,6,20,0.88524,1
5.20926,55257,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20926,55257,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20926,55257,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
5.20926,55257,FABULA PLAZA SHOP CM,0.057377,10,0.75,fallback_categoria,4,18,1.032786,1
5.20926,55257,FABULA SHOP VITORIA CM,0.081967,10,0.75,fallback_categoria,11,25,2.049175,2
5.20926,55257,FABULA CENTRO CM,0.032787,10,0.75,fallback_categoria,4,18,0.590166,1
5.20927,55258,FABULA SHOP LEBLON CM,0.098361,10,0.75,fallback_categoria,4,18,1.7704980000000001,2
5.20927,55258,FABULA RDB CM,0.07377,10,0.75,fallback_categoria,4,18,1.32786,1
5.20927,55258,FABULA BARRA SHOPPING,0.141803,10,0.75,knn_ponderado,4,18,2.552454,3
5.20927,55258,FABULA ELDORADO CM,0.044262,10,0.75,knn_ponderado,6,20,0.88524,1
5.20927,55258,FABULA RIO SUL CM,0.090164,10,0.75,fallback_categoria,4,18,1.622952,2
5.20927,55258,FABULA BARRA SALVADOR CM,0.114754,10,0.75,fallback_categoria,16,30,3.44262,3
5.20927,55258,FABULA HARMONIA SP CM,0.008197,10,0.75,knn_ponderado,6,20,0.16393999999999997,0
