PRODUTO,COR_PRODUTO,FILIAL,velocidade_prevista,n_similares,sim_media,metodo,LEADTIME,horizonte_dias,demanda_prevista,demanda_arredondada
5.20637,55223,FABULA SHOP LEBLON CM,0.059426,15,1.0,knn_enriquecido,4,18,1.069668,1
5.20637,55223,FABULA RDB CM,0.068306,15,1.0,knn_enriquecido,4,18,1.229508,1
5.20637,55223,FABULA BARRA SHOPPING,0.079235,15,1.0,knn_enriquecido,4,18,1.4262299999999999,1
5.20637,55223,FABULA ELDORADO CM,0.055738,15,1.0,knn_enriquecido,6,20,1.11476,1
5.20637,55223,FABULA RIO SUL CM,0.053279,15,1.0,knn_enriquecido,4,18,0.959022,1
5.20637,55223,FABULA BARRA SALVADOR CM,0.038934,15,1.0,knn_enriquecido,16,30,1.16802,1
5.20637,55223,FABULA HARMONIA SP CM,0.057377,15,1.0,knn_enriquecido,6,20,1.14754,1
5.20637,55223,FABULA PLAZA SHOP CM,0.037705,15,1.0,knn_enriquecido,4,18,0.67869,1
5.20637,55223,FABULA SHOP VITORIA CM,0.030055,15,1.0,knn_enriquecido,11,25,0.7513749999999999,1
5.20637,55223,FABULA CENTRO CM,0.044262,15,1.0,knn_enriquecido,4,18,0.7967160000000001,1
5.20739,55222,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20739,55222,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20739,55222,FABULA BARRA SHOPPING,0.089617,15,1.0,knn_enriquecido,4,18,1.6131060000000002,2
5.20739,55222,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20739,55222,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20739,55222,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20739,55222,FABULA HARMONIA SP CM,0.016393,15,1.0,knn_enriquecido,6,20,0.32786000000000004,0
5.20739,55222,FABULA PLAZA SHOP CM,0.002732,15,1.0,knn_enriquecido,4,18,0.049176,0
5.20739,55222,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20739,55222,FABULA CENTRO CM,0.016393,15,1.0,knn_enriquecido,4,18,0.295074,0
5.20742,55221,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20742,55221,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20742,55221,FABULA BARRA SHOPPING,0.089617,15,1.0,knn_enriquecido,4,18,1.6131060000000002,2
5.20742,55221,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20742,55221,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20742,55221,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20742,55221,FABULA HARMONIA SP CM,0.016393,15,1.0,knn_enriquecido,6,20,0.32786000000000004,0
5.20742,55221,FABULA PLAZA SHOP CM,0.002732,15,1.0,knn_enriquecido,4,18,0.049176,0
5.20742,55221,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20742,55221,FABULA CENTRO CM,0.016393,15,1.0,knn_enriquecido,4,18,0.295074,0
5.20752,55221,FABULA SHOP LEBLON CM,0.016393,15,1.0,knn_enriquecido,4,18,0.295074,0
5.20752,55221,FABULA RDB CM,0.065574,15,1.0,fallback_categoria,4,18,1.180332,1
5.20752,55221,FABULA BARRA SHOPPING,0.075527,15,1.0,knn_enriquecido,4,18,1.359486,1
5.20752,55221,FABULA ELDORADO CM,0.040984,15,1.0,fallback_categoria,6,20,0.81968,1
5.20752,55221,FABULA RIO SUL CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20752,55221,FABULA BARRA SALVADOR CM,0.081967,15,1.0,fallback_categoria,16,30,2.45901,2
5.20752,55221,FABULA HARMONIA SP CM,0.010929,15,1.0,knn_enriquecido,6,20,0.21858,0
5.20752,55221,FABULA PLAZA SHOP CM,0.040984,15,1.0,fallback_categoria,4,18,0.737712,1
5.20752,55221,FABULA SHOP VITORIA CM,0.07377,15,1.0,fallback_categoria,11,25,1.8442500000000002,2
5.20752,55221,FABULA CENTRO CM,0.010929,15,1.0,knn_enriquecido,4,18,0.19672199999999998,0
5.20907,55261,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20907,55261,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20907,55261,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,4,18,1.1901599999999999,1
5.20907,55261,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20907,55261,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20907,55261,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20907,55261,FABULA HARMONIA SP CM,0.04918,15,1.0,fallback_categoria,6,20,0.9836,1
5.20907,55261,FABULA PLAZA SHOP CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20907,55261,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20907,55261,FABULA CENTRO CM,0.032787,15,1.0,fallback_categoria,4,18,0.590166,1
5.20908,55260,FABULA SHOP LEBLON CM,0.098361,15,0.92,fallback_categoria,4,18,1.7704980000000001,2
5.20908,55260,FABULA RDB CM,0.07377,15,0.92,fallback_categoria,4,18,1.32786,1
5.20908,55260,FABULA BARRA SHOPPING,0.06612,15,0.92,knn_enriquecido,4,18,1.1901599999999999,1
5.20908,55260,FABULA ELDORADO CM,0.057377,15,0.92,fallback_categoria,6,20,1.14754,1
5.20908,55260,FABULA RIO SUL CM,0.090164,15,0.92,fallback_categoria,4,18,1.622952,2
5.20908,55260,FABULA BARRA SALVADOR CM,0.114754,15,0.92,fallback_categoria,16,30,3.44262,3
5.20908,55260,FABULA HARMONIA SP CM,0.04918,15,0.92,fallback_categoria,6,20,0.9836,1
5.20908,55260,FABULA PLAZA SHOP CM,0.057377,15,0.92,fallback_categoria,4,18,1.032786,1
5.20908,55260,FABULA SHOP VITORIA CM,0.081967,15,0.92,fallback_categoria,11,25,2.049175,2
5.20908,55260,FABULA CENTRO CM,0.032787,15,0.92,fallback_categoria,4,18,0.590166,1
5.20926,55257,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20926,55257,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20926,55257,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,4,18,1.1901599999999999,1
5.20926,55257,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20926,55257,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20926,55257,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20926,55257,FABULA HARMONIA SP CM,0.04918,15,1.0,fallback_categoria,6,20,0.9836,1
5.20926,55257,FABULA PLAZA SHOP CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20926,55257,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20926,55257,FABULA CENTRO CM,0.032787,15,1.0,fallback_categoria,4,18,0.590166,1
5.20927,55258,FABULA SHOP LEBLON CM,0.098361,15,1.0,fallback_categoria,4,18,1.7704980000000001,2
5.20927,55258,FABULA RDB CM,0.07377,15,1.0,fallback_categoria,4,18,1.32786,1
5.20927,55258,FABULA BARRA SHOPPING,0.06612,15,1.0,knn_enriquecido,4,18,1.1901599999999999,1
5.20927,55258,FABULA ELDORADO CM,0.057377,15,1.0,fallback_categoria,6,20,1.14754,1
5.20927,55258,FABULA RIO SUL CM,0.090164,15,1.0,fallback_categoria,4,18,1.622952,2
5.20927,55258,FABULA BARRA SALVADOR CM,0.114754,15,1.0,fallback_categoria,16,30,3.44262,3
5.20927,55258,FABULA HARMONIA SP CM,0.04918,15,1.0,fallback_categoria,6,20,0.9836,1
5.20927,55258,FABULA PLAZA SHOP CM,0.057377,15,1.0,fallback_categoria,4,18,1.032786,1
5.20927,55258,FABULA SHOP VITORIA CM,0.081967,15,1.0,fallback_categoria,11,25,2.049175,2
5.20927,55258,FABULA CENTRO CM,0.032787,15,1.0,fallback_categoria,4,18,0.590166,1
5.2093,55261,FABULA SHOP LEBLON CM,0.07377,15,0.15,fallback_categoria,4,18,1.32786,1
5.2093,55261,FABULA RDB CM,0.065574,15,0.15,fallback_categoria,4,18,1.180332,1
5.2093,55261,FABULA BARRA SHOPPING,0.054098,15,0.15,knn_enriquecido,4,18,0.973764,1
5.2093,55261,FABULA ELDORADO CM,0.04918,15,0.15,fallback_categoria,6,20,0.9836,1
5.2093,55261,FABULA RIO SUL CM,0.065574,15,0.15,fallback_categoria,4,18,1.180332,1
5.2093,55261,FABULA BARRA SALVADOR CM,0.065574,15,0.15,fallback_categoria,16,30,1.9672199999999997,2
5.2093,55261,FABULA HARMONIA SP CM,0.040984,15,0.15,fallback_categoria,6,20,0.81968,1
5.2093,55261,FABULA PLAZA SHOP CM,0.04918,15,0.15,fallback_categoria,4,18,0.88524,1
5.2093,55261,FABULA SHOP VITORIA CM,0.057377,15,0.15,fallback_categoria,11,25,1.4344249999999998,1
5.2093,55261,FABULA CENTRO CM,0.02459,15,0.15,fallback_categoria,4,18,0.44262,0
5.20931,56448,FABULA SHOP LEBLON CM,0.111475,15,0.613,knn_enriquecido,4,18,2.0065500000000003,2
5.20931,56448,FABULA RDB CM,0.04918,15,0.613,knn_enriquecido,4,18,0.88524,1
5.20931,56448,FABULA BARRA SHOPPING,0.071404,15,0.613,knn_enriquecido,4,18,1.285272,1
5.20931,56448,FABULA ELDORADO CM,0.054098,15,0.613,knn_enriquecido,6,20,1.08196,1
5.20931,56448,FABULA RIO SUL CM,0.063934,15,0.613,knn_enriquecido,4,18,1.1508120000000002,1
5.20931,56448,FABULA BARRA SALVADOR CM,0.040984,15,0.613,knn_enriquecido,16,30,1.22952,1
5.20931,56448,FABULA HARMONIA SP CM,0.040999,15,0.613,knn_enriquecido,6,20,0.81998,1
5.20931,56448,FABULA PLAZA SHOP CM,0.034426,15,0.613,knn_enriquecido,4,18,0.619668,1
5.20931,56448,FABULA SHOP VITORIA CM,0.026639,15,0.613,knn_enriquecido,11,25,0.665975,1
5.20931,56448,FABULA CENTRO CM,0.023224,15,0.613,knn_enriquecido,4,18,0.418032,0
5.20944,55266,FABULA SHOP LEBLON CM,0.111475,15,0.763,knn_enriquecido,4,18,2.0065500000000003,2
5.20944,55266,FABULA RDB CM,0.04918,15,0.763,knn_enriquecido,4,18,0.88524,1
5.20944,55266,FABULA BARRA SHOPPING,0.066918,15,0.763,knn_enriquecido,4,18,1.2045240000000002,1
5.20944,55266,FABULA ELDORADO CM,0.054098,15,0.763,knn_enriquecido,6,20,1.08196,1
5.20944,55266,FABULA RIO SUL CM,0.063934,15,0.763,knn_enriquecido,4,18,1.1508120000000002,1
5.20944,55266,FABULA BARRA SALVADOR CM,0.040984,15,0.763,knn_enriquecido,16,30,1.22952,1
5.20944,55266,FABULA HARMONIA SP CM,0.044496,15,0.763,knn_enriquecido,6,20,0.88992,1
5.20944,55266,FABULA PLAZA SHOP CM,0.034426,15,0.763,knn_enriquecido,4,18,0.619668,1
5.20944,55266,FABULA SHOP VITORIA CM,0.02449,15,0.763,knn_enriquecido,11,25,0.6122500000000001,1
5.20944,55266,FABULA CENTRO CM,0.023224,15,0.763,knn_enriquecido,4,18,0.418032,0
5.20948,55266,FABULA SHOP LEBLON CM,0.103825,15,0.66,knn_enriquecido,4,18,1.8688500000000001,2
5.20948,55266,FABULA RDB CM,0.095628,15,0.66,knn_enriquecido,4,18,1.7213040000000002,2
5.20948,55266,FABULA BARRA SHOPPING,0.075156,15,0.66,knn_enriquecido,4,18,1.352808,1
5.20948,55266,FABULA ELDORADO CM,0.068306,15,0.66,knn_enriquecido,6,20,1.36612,1
5.20948,55266,FABULA RIO SUL CM,0.092896,15,0.66,knn_enriquecido,4,18,1.672128,2
5.20948,55266,FABULA BARRA SALVADOR CM,0.071038,15,0.66,knn_enriquecido,16,30,2.1311400000000003,2
5.20948,55266,FABULA HARMONIA SP CM,0.057377,15,0.66,knn_enriquecido,6,20,1.14754,1
5.20948,55266,FABULA PLAZA SHOP CM,0.065574,15,0.66,knn_enriquecido,4,18,1.180332,1
5.20948,55266,FABULA SHOP VITORIA CM,0.057377,15,0.66,knn_enriquecido,11,25,1.4344249999999998,1
5.20948,55266,FABULA CENTRO CM,0.028689,15,0.66,knn_enriquecido,4,18,0.516402,1
5.20951,55260,FABULA SHOP LEBLON CM,0.065574,15,0.77,fallback_categoria,4,18,1.180332,1
5.20951,55260,FABULA RDB CM,0.065574,15,0.77,fallback_categoria,4,18,1.180332,1
5.20951,55260,FABULA BARRA SHOPPING,0.047541,15,0.77,knn_enriquecido,4,18,0.855738,1
5.20951,55260,FABULA ELDORADO CM,0.040984,15,0.77,fallback_categoria,6,20,0.81968,1
5.20951,55260,FABULA RIO SUL CM,0.057377,15,0.77,fallback_categoria,4,18,1.032786,1
